track_id,loudness,tempo,time_signature,key,mode,avg_timbre,var_timbre,avg_pitches,var_pitches
TRAAAAW128F429D538,-0.13173980886873699,-0.8730850725982662,4,1,0,-1.748728609096164,3.193411469796476,0.42988651942410383,0.43023780655469107
TRAAABD128F429CF47,0.11902330398127678,-0.04665505821796416,4,6,0,-0.34312370482354415,-1.682918968704328,-1.6501470191896712,-2.2547573777332226
TRAAADZ128F9348C2E,0.147544367038073,-0.6493384405580359,1,8,1,1.1355545644489333,0.4158634354732782,-0.9977648795952964,1.749237925807235
TRAAAEF128F4273421,0.2727407217549188,-0.10296121650959249,4,0,1,-0.19683219531514812,-1.3139026367573001,0.3491488779572512,-1.34825066338479
TRAAAFD128F92F423A,1.108370828977416,0.1939180481830151,4,2,1,-1.382694880898342,-2.600065809836025,1.4064503043030057,-0.5867176964874727
TRAAAMO128F1481E7F,0.2153281922250042,0.7067844390028726,3,5,1,0.9934817939232933,-1.328519072186058,-2.146158989447599,0.2839131820705558
TRAAAMQ128F1460CD3,-1.26239623719173,-0.3163049944686836,1,1,1,2.339526805489152,5.410154556381749,0.5341007289974767,1.1249513880690567
TRAAAPK128E0786D96,-0.21415456900038848,-0.6106830264860444,3,4,0,0.659128623759205,0.10489552881152825,-3.40900949786831,-2.1889884013751653
TRAAARJ128F9320760,-0.5575185359309088,-1.0309753852232002,4,4,1,-0.5855961423226387,-2.2460469241362997,1.6456115205573536,-0.5814763842251797
TRAAAVG12903CFA543,0.7016678778558283,-0.25223933026407525,4,7,0,-1.6826326136309508,3.6379423270248994,0.8381072918930903,1.3527529893100019
TRAAAVO128F93133D4,0.08605739992861605,0.6778781477446256,1,5,0,-1.992872375338842,-2.425313598347764,-1.0464220348202402,1.0077568465145055
TRAABCL128F4286650,0.544616829335288,-0.14042286044112487,4,7,1,-0.3795900741347809,0.2269772350013849,-0.04304435966035539,-1.2769117547739477
TRAABDL12903CAABBA,0.7137059888862941,0.20250182395488348,4,9,1,0.573474142816877,1.060258471851558,-0.8684175934090871,-1.5263195626842103
TRAABJL12903CDCF1A,0.50665047916228,0.4098199050145179,1,10,0,-0.744692739647023,0.6411458570163323,-0.9659084829625352,2.3047204183124674
TRAABJV128F1460C49,0.3962702610983154,0.06484875752058053,3,3,1,-1.305540321626155,-2.5556327679293283,-1.0114623220284835,2.3528083433257874
